Test Method=testDiff(), Test Class=TestXmlDiff [JUNIT4], References={TestXmlDiff.xml1:java.lang.String, TestXmlDiff.xml2:java.lang.String, TestXmlDiff.xml3:java.lang.String, TestXmlDiff.xml1:java.lang.String, TestXmlDiff.xml2:java.lang.String, TestXmlDiff.xml1:java.lang.String, TestXmlDiff.xml2:java.lang.String, TestXmlDiff.xml2:java.lang.String, TestXmlDiff.xml3:java.lang.String, TestXmlDiff.xml2:java.lang.String, TestXmlDiff.xml3:java.lang.String, }, Invocations={UNKNOWNP.MyDiff.similar(2):UNKNOWNP.UNKNOWN, UNKNOWNP.MyDiff.identical(2):UNKNOWNP.UNKNOWN, UNKNOWNP.MyDiff.similar(2):UNKNOWNP.UNKNOWN, UNKNOWNP.MyDiff.identical(2):UNKNOWNP.UNKNOWN, }, Assertions={assertTrue, assertFalse, assertTrue, assertTrue, }, Assertion Parameters={assertTrue(UNKNOWNP.MyDiff.similar(2):UNKNOWNP.UNKNOWN), assertFalse(UNKNOWNP.MyDiff.identical(2):UNKNOWNP.UNKNOWN), assertTrue(UNKNOWNP.MyDiff.similar(2):UNKNOWNP.UNKNOWN), assertTrue(UNKNOWNP.MyDiff.identical(2):UNKNOWNP.UNKNOWN), }
id=11299 rank=1 score=2.106 fqn=org.helianto.core.service.SecurityMgrImplTests heuristics={A:1.000, R:1.000, K:0.106}
id=6148 rank=2 score=2.103 fqn=net.sourceforge.javajson.test.TestJsonObject heuristics={A:1.000, R:1.000, K:0.103}
id=7927 rank=3 score=2.082 fqn=org.acegisecurity.acl.basic.SimpleAclEntryTests heuristics={A:1.000, R:1.000, K:0.082}
id=9472 rank=4 score=2.080 fqn=net.sourceforge.cruisecontrol.sourcecontrols.ConcurrentVersionsSystemTest heuristics={A:1.000, R:1.000, K:0.080}
id=16755 rank=5 score=2.075 fqn=org.lockss.util.TestStreamUtil heuristics={A:1.000, R:1.000, K:0.075}
id=11466 rank=6 score=2.072 fqn=de.schlund.pfixxml.util.XmlTest heuristics={A:1.000, R:1.000, K:0.072}
id=5499 rank=7 score=2.067 fqn=com.amazon.carbonado.qe.TestUnionQueryAnalyzer heuristics={A:1.000, R:1.000, K:0.067}
id=11343 rank=8 score=2.062 fqn=org.helianto.core.security.UserDetailsAdapterTests heuristics={A:1.000, R:1.000, K:0.062}
id=11056 rank=9 score=2.062 fqn=net.wotonomy.foundation.NSArrayTest heuristics={A:1.000, R:1.000, K:0.062}
id=5468 rank=10 score=2.057 fqn=com.amazon.carbonado.qe.TestFilteringScore heuristics={A:1.000, R:1.000, K:0.057}
id=2104 rank=11 score=2.000 fqn=fitnesse.authentication.HashingCipherTest heuristics={A:1.000, R:1.000}
id=5391 rank=12 score=2.000 fqn=com.amazon.carbonado.synthetic.TestSyntheticStorableBuilders heuristics={A:1.000, R:1.000}
id=16731 rank=13 score=2.000 fqn=org.lockss.util.TestLogger heuristics={A:1.000, R:1.000}
id=3484 rank=14 score=2.000 fqn=net.sourceforge.pebble.logging.RequestTest heuristics={A:1.000, R:1.000}
id=14058 rank=15 score=2.000 fqn=com.technoetic.xplanner.security.TestAuthenticator heuristics={A:1.000, R:1.000}
id=16149 rank=16 score=2.000 fqn=org.mifos.security.util.ActivityMapperTest heuristics={A:1.000, R:1.000}
id=11782 rank=17 score=2.000 fqn=net.sf.jameleon.data.SqlDataDriverTest heuristics={A:1.000, R:1.000}
id=15112 rank=18 score=2.000 fqn=org.mifos.accounts.savings.SavingsCloseTest heuristics={A:1.000, R:1.000}
id=5991 rank=19 score=2.000 fqn=datadog.sessions.JdbcTransactionTest heuristics={A:1.000, R:1.000}
id=13104 rank=20 score=2.000 fqn=backend.query.test.AbstractQueryTest heuristics={A:1.000, R:1.000}
id=5658 rank=21 score=2.000 fqn=com.amazon.carbonado.repo.replicated.TestRepair heuristics={A:1.000, R:1.000}
id=5169 rank=22 score=2.000 fqn=com.brimarx.icap10.stack.impl.iterable.IcapMimeHeadersParserTest heuristics={A:1.000, R:1.000}
id=1991 rank=23 score=2.000 fqn=org.python.util.install.InstallerCommandLineTest heuristics={A:1.000, R:1.000}
id=12501 rank=24 score=2.000 fqn=com.zimbra.qa.unittest.TestUtilCode heuristics={A:1.000, R:1.000}
id=8317 rank=25 score=2.000 fqn=com.phenix.pct.PCTConnectionTest heuristics={A:1.000, R:1.000}
id=9782 rank=26 score=2.000 fqn=net.sf.dataexpert.tests.backend.TestPgConnectivity heuristics={A:1.000, R:1.000}
id=11090 rank=27 score=2.000 fqn=org.rifidi.emulator.reader.alienreader.AlienReaderTimerTest heuristics={A:1.000, R:1.000}
id=4497 rank=28 score=2.000 fqn=edu.rice.cs.javalanglevels.ElementaryLevelTest heuristics={A:1.000, R:1.000}
id=2532 rank=29 score=2.000 fqn=org.rubypeople.rdt.debug.core.tests.FTC_AbstractDebuggerCommunicationTest heuristics={A:1.000, R:1.000}
id=11716 rank=30 score=2.000 fqn=net.sf.jameleon.result.FunctionResultTest heuristics={A:1.000, R:1.000}
id=15417 rank=31 score=2.000 fqn=org.mifos.config.ChartOfAccountsConfigIntegrationTest heuristics={A:1.000, R:1.000}
id=2254 rank=32 score=2.000 fqn=wardDemoTests.wardDemoHeaderTest heuristics={A:1.000, R:1.000}
id=8115 rank=33 score=2.000 fqn=org.dbunit.dataset.csv.CsvURLProducerTest heuristics={A:1.000, R:1.000}
id=9389 rank=34 score=2.000 fqn=net.sourceforge.cruisecontrol.sourcecontrols.VssJournalTest heuristics={A:1.000, R:1.000}
id=11752 rank=35 score=2.000 fqn=net.sf.jameleon.JameleonTagSupportTest heuristics={A:1.000, R:1.000}
id=2721 rank=36 score=2.000 fqn=simple.xml.load.ContextualCallbackTest heuristics={A:1.000, R:1.000}
id=11583 rank=37 score=2.000 fqn=net.sf.jameleon.plugin.htmlunit.util.HtmlUnitHelperTest heuristics={A:1.000, R:1.000}
id=2168 rank=38 score=2.000 fqn=fitnesse.wikitext.widgets.WikiWordWidgetTest heuristics={A:1.000, R:1.000}
id=13765 rank=39 score=2.000 fqn=org.dishevelled.matrix.AbstractObjectMatrix2DTest heuristics={A:1.000, R:1.000}
id=6209 rank=40 score=2.000 fqn=gsn.vsensor.TestStreamExporterVirtualSensor heuristics={A:1.000, R:1.000}
id=2502 rank=41 score=2.000 fqn=org.rubypeople.rdt.debug.core.tests.FTC_DebuggerLaunch heuristics={A:1.000, R:1.000}
id=14715 rank=42 score=2.000 fqn=org.mifos.accounts.loan.business.LoanAdjustmentsIntegrationTest heuristics={A:1.000, R:1.000}
id=2242 rank=43 score=2.000 fqn=iTrustTests.iTrustHomePageTest heuristics={A:1.000, R:1.000}
id=10168 rank=44 score=2.000 fqn=net.buffalo.protocal.ObjectSerializerTest heuristics={A:1.000, R:1.000}
id=12594 rank=45 score=2.000 fqn=org.springframework.richclient.command.config.CommandFaceDescriptorTests heuristics={A:1.000, R:1.000}
id=11735 rank=46 score=2.000 fqn=net.sf.jameleon.util.StateStorerTest heuristics={A:1.000, R:1.000}
id=13034 rank=47 score=2.000 fqn=backend.core.test.AbstractOndexGraphMetaDataPermissionsTest heuristics={A:1.000, R:1.000}
id=9708 rank=48 score=2.000 fqn=net.sourceforge.cruisecontrol.distributed.BuildAgentServiceImplTest heuristics={A:1.000, R:1.000}
id=12180 rank=49 score=2.000 fqn=net.sf.jpd.bt.peer.PeerObserverTest heuristics={A:1.000, R:1.000}
id=13558 rank=50 score=2.000 fqn=net.thefrontside.crosscheck.TestSuiteTest heuristics={A:1.000, R:1.000}
id=9493 rank=51 score=2.000 fqn=net.sourceforge.cruisecontrol.publishers.EmailPublisherTest heuristics={A:1.000, R:1.000}
id=14596 rank=52 score=2.000 fqn=org.mifos.accounts.business.AddAccountActionIntegrationTest heuristics={A:1.000, R:1.000}
id=5746 rank=53 score=2.000 fqn=org.opentradingsolutions.log4fix.importer.LogMessageBuilderTest heuristics={A:1.000, R:1.000}
id=3808 rank=54 score=2.000 fqn=com.tomgibara.pronto.util.DurationTest heuristics={A:1.000, R:1.000}
id=12330 rank=55 score=2.000 fqn=net.sourceforge.zdt.core.util.EntryValidatorTest heuristics={A:1.000, R:1.000}
id=5251 rank=56 score=2.000 fqn=net.sf.ehcache.CacheManagerTest heuristics={A:1.000, R:1.000}
id=16668 rank=57 score=2.000 fqn=org.lockss.test.TestSimpleQueue heuristics={A:1.000, R:1.000}
id=7695 rank=58 score=2.000 fqn=org.acegisecurity.taglibs.velocity.AuthzImplTest heuristics={A:1.000, R:1.000}
id=8496 rank=59 score=2.000 fqn=net.sf.fairdj.users.TestUser heuristics={A:1.000, R:1.000}
id=2135 rank=60 score=2.000 fqn=fitnesse.wiki.WikiPagePathTest heuristics={A:1.000, R:1.000}
id=3488 rank=61 score=2.000 fqn=net.sourceforge.pebble.logging.RefererTest heuristics={A:1.000, R:1.000}
id=16152 rank=62 score=2.000 fqn=org.mifos.security.util.LoginFilterStrutsTest heuristics={A:1.000, R:1.000}
id=7097 rank=63 score=2.000 fqn=net.sf.jguiraffe.gui.platform.swing.builder.action.TestSwingFormAction heuristics={A:1.000, R:1.000}
id=9672 rank=64 score=2.000 fqn=net.sourceforge.cruisecontrol.ModificationSetTest heuristics={A:1.000, R:1.000}
id=9455 rank=65 score=2.000 fqn=net.sourceforge.cruisecontrol.sourcecontrols.AccurevTest heuristics={A:1.000, R:1.000}
id=13113 rank=66 score=2.000 fqn=backend.query.test.RelationQueryTest heuristics={A:1.000, R:1.000}
id=5662 rank=67 score=2.000 fqn=com.amazon.carbonado.layout.TestLayout heuristics={A:1.000, R:1.000}
id=11633 rank=68 score=2.000 fqn=net.sf.jameleon.plugin.jiffie.IESessionTagTest heuristics={A:1.000, R:1.000}
id=5173 rank=69 score=2.000 fqn=com.brimarx.icap10.stack.impl.iterable.SimpleIcapRequestParserTest heuristics={A:1.000, R:1.000}
id=1992 rank=70 score=2.000 fqn=org.python.util.install.FrameInstallerTest heuristics={A:1.000, R:1.000}
id=6909 rank=71 score=2.000 fqn=net.sf.jguiraffe.gui.builder.components.tags.TestFormBaseTag heuristics={A:1.000, R:1.000}
id=7321 rank=72 score=2.000 fqn=quickfix.SessionScheduleTest heuristics={A:1.000, R:1.000}
id=15385 rank=73 score=2.000 fqn=org.mifos.application.meeting.struts.action.MeetingActionStrutsTest heuristics={A:1.000, R:1.000}
id=13174 rank=74 score=2.000 fqn=org.unitils.dbmaintainer.maintainer.script.FileScriptSourceTest heuristics={A:1.000, R:1.000}
id=15422 rank=75 score=2.000 fqn=org.mifos.config.ClientRulesIntegrationTest heuristics={A:1.000, R:1.000}
id=13018 rank=76 score=2.000 fqn=backend.core.persistent.berkeley.test.ConceptIndexTest heuristics={A:1.000, R:1.000}
id=16708 rank=77 score=2.000 fqn=org.lockss.util.TestFifoQueue heuristics={A:1.000, R:1.000}
id=9612 rank=78 score=2.000 fqn=net.sourceforge.cruisecontrol.ProjectTest heuristics={A:1.000, R:1.000}
id=9400 rank=79 score=2.000 fqn=net.sourceforge.cruisecontrol.CruiseControlConfigTest heuristics={A:1.000, R:1.000}
id=6145 rank=80 score=2.000 fqn=net.sourceforge.javajson.test.TestParser heuristics={A:1.000, R:1.000}
id=6583 rank=81 score=2.000 fqn=com.kneobase.extractors.OpenOfficeBuilderTest heuristics={A:1.000, R:1.000}
id=8246 rank=82 score=2.000 fqn=com.fishfarm.ui.TextVerifierTest heuristics={A:1.000, R:1.000}
id=12770 rank=83 score=2.000 fqn=org.springframework.richclient.settings.SettingsAbstractTests heuristics={A:1.000, R:1.000}
id=505 rank=84 score=2.000 fqn=org.concern.controller.ControllerTest heuristics={A:1.000, R:1.000}
id=7189 rank=85 score=2.000 fqn=quickfix.MessageTest heuristics={A:1.000, R:1.000}
id=9550 rank=86 score=2.000 fqn=net.sourceforge.cruisecontrol.publishers.SCPPublisherTest heuristics={A:1.000, R:1.000}
id=6649 rank=87 score=2.000 fqn=org.jamon.codegen.PathAdapterTest heuristics={A:1.000, R:1.000}
id=2246 rank=88 score=2.000 fqn=wardDemoTests.wardDemoHomePageTest heuristics={A:1.000, R:1.000}
id=12981 rank=89 score=2.000 fqn=backend.exchange.test.ConceptParserTest heuristics={A:1.000, R:1.000}
id=7807 rank=90 score=2.000 fqn=org.acegisecurity.providers.encoding.Md5PasswordEncoderTests heuristics={A:1.000, R:1.000}
id=6508 rank=91 score=2.000 fqn=com.kneobase.search.query.HitsTest heuristics={A:1.000, R:1.000}
id=4551 rank=92 score=2.000 fqn=net.sf.yadoda.core.TagsTest heuristics={A:1.000, R:1.000}
id=10423 rank=93 score=2.000 fqn=org.riverock.common.tools.TestCaseStringTools heuristics={A:1.000, R:1.000}
id=15454 rank=94 score=2.000 fqn=org.mifos.customers.business.CustomerAccountBOIntegrationTest heuristics={A:1.000, R:1.000}
id=11499 rank=95 score=2.000 fqn=ie.omk.smpp.util.TestSMPPDate heuristics={A:1.000, R:1.000}
id=16766 rank=96 score=2.000 fqn=org.lockss.util.TestStringUtil heuristics={A:1.000, R:1.000}
id=5108 rank=97 score=2.000 fqn=com.brimarx.internet.stack.MimeHeadersParserTest heuristics={A:1.000, R:1.000}
id=16310 rank=98 score=2.000 fqn=org.mifos.platform.rest.controller.RESTControllerConvensionTest heuristics={A:1.000, R:1.000}
id=6198 rank=99 score=2.000 fqn=fitnesse.wiki.FileSystemPageTestXFIXME heuristics={A:1.000, R:1.000}
id=12184 rank=100 score=2.000 fqn=net.sf.jpd.bt.peer.PeerDataTransferingTest heuristics={A:1.000, R:1.000}
id=8023 rank=101 score=2.000 fqn=org.acegisecurity.concurrent.SessionRegistryImplTests heuristics={A:1.000, R:1.000}
