Test Method=tm1(), Test Class=CTest [JUNIT3], References={CTest.c:C, var3:int, var1:int, var1:int, CTest.c:C, C.FLAG:UNKNOWNP.UNKNOWN, C.FLAG:UNKNOWNP.UNKNOWN, var1:int, var3:int, var1:int, var3:int, CTest.c:C, CTest.c:C, }, Invocations={CFactory.makeC.makeC():void, junit.framework.TestCase.thm3(java.lang.StringBuffer, boolean):UNKNOWNP.UNKNOWN, junit.framework.TestCase.thm3(java.lang.StringBuffer, boolean):UNKNOWNP.UNKNOWN, C.m1(java.lang.StringBuffer, boolean, UNKNOWNP.UNKNOWN):int, C.m2(java.lang.StringBuffer):UNKNOWNP.UNKNOWN, java.lang.StringBuffer.StringBuffer(java.lang.String):void, C.m3(java.lang.StringBuffer):UNKNOWNP.UNKNOWN, java.lang.StringBuffer.StringBuffer(java.lang.String):void, CTest.thm2(java.lang.StringBuffer):void, java.lang.StringBuffer.StringBuffer(java.lang.String):void, CTest.thm1(java.lang.StringBuffer):void, java.lang.StringBuffer.StringBuffer(java.lang.String):void, CTest.thm1(java.lang.StringBuffer):void, java.lang.StringBuffer.StringBuffer(java.lang.String):void, CTest.thm2(java.lang.StringBuffer):void, java.lang.StringBuffer.StringBuffer(java.lang.String):void, }, Assertions={fail, }
id=140 rank=1 score=3.968 fqn=org.jrdf.util.EqualsUtilUnitTest heuristics={R:1.000, DF:1.000, BFI:0.519, I:1.000, K:0.450}
id=8851 rank=2 score=3.542 fqn=org.nxplanner.acceptance.web.AbstractPageTestScript heuristics={A:1.000, R:1.000, BFI:0.124, I:1.000, K:0.418}
id=11404 rank=3 score=3.405 fqn=net.sourceforge.cruisecontrol.labelincrementers.P4ChangelistLabelIncrementerTest heuristics={A:1.000, R:1.000, DF:1.000, K:0.405}
id=14313 rank=4 score=3.278 fqn=net.sourceforge.processdash.util.StringUtilsTest heuristics={R:0.500, DF:1.000, BFI:0.778, I:1.000}
id=3564 rank=5 score=2.911 fqn=org.exist.xmldb.test.TreeLevelOrderTest heuristics={A:1.000, R:1.000, K:0.911}
id=3809 rank=5 score=2.911 fqn=org.exist.xmldb.TreeLevelOrderTest heuristics={A:1.000, R:1.000, K:0.911}
id=4743 rank=7 score=2.875 fqn=org.apache.tools.ant.BuildFileTest heuristics={A:1.000, R:0.500, DF:1.000, K:0.375}
id=9752 rank=8 score=2.853 fqn=org.dbunit.AbstractHSQLTestCase heuristics={R:0.500, BFI:1.000, I:1.000, K:0.353}
id=3623 rank=9 score=2.838 fqn=org.exist.xmldb.test.DTMHandleTest heuristics={A:1.000, R:1.000, K:0.838}
id=3839 rank=9 score=2.838 fqn=org.exist.xmldb.DTMHandleTest heuristics={A:1.000, R:1.000, K:0.838}
id=12633 rank=11 score=2.779 fqn=org.dhmp.util.xml.SchemaTest heuristics={A:1.000, R:0.500, DF:1.000, K:0.279}
id=11937 rank=12 score=2.626 fqn=net.sf.uranion.packet.PacketTest heuristics={R:0.500, DF:1.000, BFI:0.126, I:1.000}
id=13586 rank=13 score=2.500 fqn=de.schlund.pfixxml.util.XmlTest heuristics={A:1.000, R:0.500, K:1.000}
id=1191 rank=14 score=2.445 fqn=org.smartfrog.test.SmartFrogTestBase heuristics={A:1.000, R:1.000, K:0.445}
id=6175 rank=15 score=2.438 fqn=com.brimarx.icap10.server.impl.servit.IcapContextualHandlerTest heuristics={A:1.000, R:1.000, K:0.438}
id=3775 rank=16 score=2.420 fqn=org.exist.xquery.value.AbstractTimeRelatedTestCase heuristics={A:1.000, R:1.000, K:0.420}
id=3525 rank=16 score=2.420 fqn=org.exist.xquery.value.test.AbstractTimeRelatedTestCase heuristics={A:1.000, R:1.000, K:0.420}
id=9745 rank=18 score=2.406 fqn=org.dbunit.AssertionTest heuristics={R:1.000, BFI:0.136, I:1.000, K:0.270}
id=4989 rank=19 score=2.400 fqn=com.mini.sd.HandleManagerTest heuristics={DF:1.000, BFI:0.400, I:1.000}
id=13631 rank=20 score=2.374 fqn=ie.omk.smpp.message.SMPPPacketTest heuristics={A:1.000, R:1.000, K:0.374}
id=12636 rank=21 score=2.370 fqn=org.dhmp.util.BasicHierarchicalMapTest heuristics={A:1.000, R:0.500, K:0.870}
id=11243 rank=22 score=2.368 fqn=net.sourceforge.cruisecontrol.sourcecontrols.ClearCaseTest heuristics={A:1.000, R:1.000, K:0.368}
id=11199 rank=23 score=2.364 fqn=net.sourceforge.cruisecontrol.sourcecontrols.P4Test heuristics={A:1.000, R:1.000, K:0.364}
id=3756 rank=24 score=2.332 fqn=org.exist.xquery.XMLNodeAsXQueryParameterTest heuristics={A:1.000, R:0.500, K:0.832}
id=3461 rank=24 score=2.332 fqn=org.exist.xquery.test.XMLNodeAsXQueryParameterTest heuristics={A:1.000, R:0.500, K:0.832}
id=10293 rank=26 score=2.330 fqn=test2.SerializeTestCase2 heuristics={A:1.000, DF:1.000, K:0.330}
id=4446 rank=27 score=2.272 fqn=tests.org.ntropa.build.jsp.TemplateTest heuristics={A:1.000, R:1.000, K:0.272}
id=8296 rank=28 score=2.271 fqn=net.sf.jguiraffe.gui.layout.TestNumberWithUnit heuristics={A:1.000, R:1.000, K:0.271}
id=11627 rank=29 score=2.164 fqn=net.sf.jsqlparser.test.tablesfinder.TablesNamesFinderTest heuristics={R:0.500, BFI:0.298, I:1.000, K:0.366}
id=3786 rank=30 score=2.136 fqn=org.exist.xquery.NodeTypeTest heuristics={A:1.000, R:0.500, K:0.636}
id=3500 rank=30 score=2.136 fqn=org.exist.xquery.test.NodeTypeTest heuristics={A:1.000, R:0.500, K:0.636}
id=11637 rank=32 score=2.115 fqn=net.sf.jsqlparser.test.select.SpeedTest heuristics={R:0.500, BFI:0.246, I:1.000, K:0.369}
id=11614 rank=33 score=2.019 fqn=net.sf.jsqlparser.test.create.CreateTableTest heuristics={R:0.500, BFI:0.149, I:1.000, K:0.370}
id=4313 rank=34 score=2.000 fqn=org.jvoicexml.interpreter.grammar.TestSrgsXmlGrammarIdentifier heuristics={A:1.000, DF:1.000}
id=5182 rank=34 score=2.000 fqn=org.jdtaus.common.dtaus.AbstractPhysicalFileTest heuristics={A:1.000, R:1.000}
id=3877 rank=34 score=2.000 fqn=org.exist.storage.RecoverBinaryTest2 heuristics={A:1.000, R:1.000}
id=18959 rank=34 score=2.000 fqn=org.dishevelled.iconbundle.AbstractIconBundleTest heuristics={A:1.000, R:1.000}
id=13982 rank=34 score=2.000 fqn=net.sf.jameleon.data.SqlDataDriverTest heuristics={A:1.000, R:1.000}
id=3700 rank=34 score=2.000 fqn=org.exist.storage.test.BFileRecoverTest heuristics={A:1.000, R:1.000}
id=3827 rank=34 score=2.000 fqn=org.exist.xmldb.ResourceTest heuristics={A:1.000, R:1.000}
id=5108 rank=34 score=2.000 fqn=org.jivesoftware.smack.test.SmackTestCase heuristics={A:1.000, R:1.000}
id=6858 rank=34 score=2.000 fqn=datadog.services.ClassServiceTest heuristics={A:1.000, R:1.000}
id=18775 rank=34 score=2.000 fqn=net.sf.classifier4J.DefaultTokenizerTest heuristics={A:1.000, R:1.000}
id=19545 rank=34 score=2.000 fqn=com.innodata.xiruss.snapcm.api.helpers.RepositoryObjectMapTest heuristics={A:1.000, R:1.000}
id=1537 rank=34 score=2.000 fqn=org.apache.commons.collections15.comparators.TestFixedOrderComparator heuristics={A:1.000, R:1.000}
id=3677 rank=34 score=2.000 fqn=org.exist.storage.test.RecoverBinaryTest2 heuristics={A:1.000, R:1.000}
id=5476 rank=34 score=2.000 fqn=org.joda.time.chrono.TestIslamicChronology heuristics={A:1.000, R:1.000}
id=5533 rank=34 score=2.000 fqn=org.joda.time.TestDays heuristics={A:1.000, R:1.000}
id=6634 rank=34 score=2.000 fqn=com.amazon.carbonado.repo.replicated.TestRepair heuristics={A:1.000, R:1.000}
id=7694 rank=34 score=2.000 fqn=com.kneobase.server.index.IndexManagerTest heuristics={A:1.000, R:1.000}
id=8677 rank=34 score=2.000 fqn=test.tvbrowserdataservice.DayProgramFileTest heuristics={A:1.000, R:1.000}
id=8261 rank=34 score=2.000 fqn=net.sf.jguiraffe.gui.layout.TestButtonLayout heuristics={A:1.000, R:1.000}
id=9420 rank=34 score=2.000 fqn=org.acegisecurity.acl.basic.BasicAclProviderTests heuristics={A:1.000, R:1.000}
id=13740 rank=34 score=2.000 fqn=net.sf.jameleon.plugin.selenium.SeleniumSessionTagTest heuristics={A:1.000, R:1.000}
id=9084 rank=34 score=2.000 fqn=org.acegisecurity.providers.jaas.JaasAuthenticationProviderTests heuristics={A:1.000, R:1.000}
id=1087 rank=34 score=2.000 fqn=org.smartfrog.services.deployapi.test.system.alpine.AlpineTestBase heuristics={A:1.000, R:1.000}
id=3128 rank=34 score=2.000 fqn=net.objectlab.kit.datecalc.common.TenorTest heuristics={A:1.000, R:1.000}
id=5466 rank=34 score=2.000 fqn=org.joda.time.TestDateTime_Constructors heuristics={A:1.000, R:1.000}
id=7254 rank=34 score=2.000 fqn=fitnesse.wiki.FileSystemPageVersioningTest heuristics={A:1.000, R:1.000}
id=14872 rank=34 score=2.000 fqn=org.springframework.richclient.security.SecurityAwareConfigurerTests heuristics={A:1.000, R:1.000}
id=2185 rank=34 score=2.000 fqn=com.sdm.util.model.AbstractValueModelTest heuristics={A:1.000, R:1.000}
id=3715 rank=34 score=2.000 fqn=org.exist.storage.test.RecoveryTest3 heuristics={A:1.000, R:1.000}
id=5494 rank=34 score=2.000 fqn=org.joda.time.TestLocalDateTime_Properties heuristics={A:1.000, R:1.000}
id=6023 rank=34 score=2.000 fqn=com.illposed.osc.test.OSCBundleTest heuristics={A:1.000, R:1.000}
id=17033 rank=34 score=2.000 fqn=org.mifos.application.meeting.business.MeetingBOIntegrationTest heuristics={A:1.000, R:1.000}
id=9917 rank=34 score=2.000 fqn=net.sourceforge.voctutor.io.FileHistoryTest heuristics={A:1.000, R:1.000}
id=11240 rank=34 score=2.000 fqn=net.sourceforge.cruisecontrol.sourcecontrols.AccurevTest heuristics={A:1.000, R:1.000}
id=5538 rank=34 score=2.000 fqn=org.joda.time.TestSeconds heuristics={A:1.000, R:1.000}
id=5992 rank=34 score=2.000 fqn=it.imolinfo.jbi4cics.test.mapping.commarea.OccursCommareaMappingTest heuristics={A:1.000, R:1.000}
id=9861 rank=34 score=2.000 fqn=test.net.sf.platypuswiki.content.persistance.ContentPersistanceManagerTest heuristics={A:1.000, R:1.000}
id=11421 rank=34 score=2.000 fqn=net.sourceforge.cruisecontrol.ProjectTest heuristics={A:1.000, R:1.000}
id=13930 rank=34 score=2.000 fqn=net.sf.jameleon.function.FunctionTagTest heuristics={A:1.000, R:1.000}
id=1360 rank=34 score=2.000 fqn=jat.forces.unittest.ForceModelTest heuristics={A:1.000, R:1.000}
id=3794 rank=34 score=2.000 fqn=org.exist.xquery.DeepEqualTest heuristics={A:1.000, R:1.000}
id=19117 rank=34 score=2.000 fqn=org.dishevelled.identify.IdLabelTest heuristics={A:1.000, R:1.000}
id=19747 rank=34 score=2.000 fqn=net.sf.jguiraffe.gui.platform.swing.builder.components.TestSwingComponentManager heuristics={A:1.000, R:1.000}
id=5472 rank=34 score=2.000 fqn=org.joda.time.chrono.TestGJChronology heuristics={A:1.000, R:1.000}
id=8219 rank=34 score=2.000 fqn=net.sf.jguiraffe.gui.forms.TestForm heuristics={A:1.000, R:1.000}
id=8889 rank=34 score=2.000 fqn=org.nxplanner.security.auth.TestAuthorizerImpl heuristics={A:1.000, R:1.000}
id=13645 rank=34 score=2.000 fqn=ie.omk.smpp.message.SizeTest heuristics={A:1.000, R:1.000}
id=11511 rank=34 score=2.000 fqn=net.sourceforge.cruisecontrol.distributed.BuildAgentTest heuristics={A:1.000, R:1.000}
id=3854 rank=34 score=2.000 fqn=org.exist.storage.UpdateRecoverTest heuristics={A:1.000, R:1.000}
id=5228 rank=34 score=2.000 fqn=edu.rice.cs.util.text.SWTDocumentAdapterTest heuristics={A:1.000, R:1.000}
